name,location,origin,location_country,origin_country,origin_country_1,origin_country_2,origin_country_3,origin_country_4,origin_country_5,origin_country_6
Malaysia Liberica Anaerobic Natural N26,"Hilo, Hawaii","Kulai, Johor, Malaysia",United States,Malaysia,Malaysia,,,,,
Ethiopia Gesha Village Oma Gesha 1931 Natural,"Taipei, Taiwan","Bench-Maji Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Colombia Wilton Benitez Gesha Thermal Shock Wine Yeast,"Jersey City, New Jersey","Piendamó, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Wilton Benitez Striped Bourbon Thermal Shock,"Jersey City, New Jersey","Piendamó, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Green Apple Castillo,"Chicago, Illinois","Armenia, Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
Misty 23.5N,"Taipei, Taiwan","Ali Mountain, Koana, Taiwan",Taiwan,Taiwan,Taiwan,,,,,
Las Margaritas Sudan Rume Natural,"Madison, Wisconsin","Caicendonia, Valle Del Cauca, Colombia",United States,Colombia,Colombia,,,,,
Colombia La Victoria Ethiopia Landrace,"Osaka, Japan","Huila Department, Colombia",Japan,Colombia,Colombia,,,,,
Colombia Tabi La Roca,"Chicago, Illinois","Armenia, Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia La Palma Y Tucán Heroes Series Geisha,"Cleveland, Tennessee","Cundinamarca Department, Colombia",United States,Colombia,Colombia,,,,,
Tanzania Karatu Acacia Hills Geisha Washed AB Espresso,"Zhubei, Taiwan","Karatu, Oldeani growing region, Tanzania",Taiwan,Tanzania,Tanzania,,,,,
Costa Rica Las Lajas SL28 Double-Diamond Anaerobic Natural,"Sun Prairie, Wisconsin","Sabanilla de Alajuela, Central Valley, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Wilton Benitez Orange Bourbon,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Las Margaritas Geisha Honey,"Madison, Wisconsin","Caicendonia, Valle Del Cauca, Colombia",United States,Colombia,Colombia,,,,,
Ethiopia Moonlight Delight Wine Process Natural,"Tainan City, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Colombia Caldas Twilight Geisha Natural,"Tainan City, Taiwan","Caldas, Colombia",Taiwan,Colombia,Colombia,,,,,
Colombia Wilton Benitez Natural Decaf,"Jersey City, New Jersey","Piendamó, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Papayo,"San Diego, California","Huila Department, Colombia",United States,Colombia,Colombia,,,,,
India Pearl Mountain Estate,"San Diego, California","Bababudangiri, Karnataka, Western Ghats, India",United States,India,India,,,,,
Ethiopia Washed Sidama Bensa Single Variety 74158,"Taipei, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Washed Guji Uraga Tome Variety 74110,"Taipei, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Guji Bule Hambela TOH#1,"Taipei, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Wilton Benitez Orange Bourbon,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Jairo Arcila,"Cleveland, Tennessee","Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Luis Calderon,"Cleveland, Tennessee","Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Ethiopia Yirgacheffe Kochere Halo Hartume Washed G1,"Taipei, Taiwan","Yirgacheffe growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Colombia Henry Gonzalez,"Sacramento, California","Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Ethiopia Mulish,"Sacramento, California","Guji Zone, Oromia region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Organic Ethiopia Chelbessa Danche,"Viroqua, Wisconsin","Worka Chelbessa, Gedeb, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Sidama Berry Gummies 74158 Natural G1,"Tainan City, Taiwan","Sidamo growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Java Riunggunung Estate,"Lexington, Virginia","Pangalengan, Bandung, West Java, Indonesia",United States,Indonesia,Indonesia,,,,,
Ethiopia Sidama Orange Blossom Washed G1,"Tainan City, Taiwan","Sidamo growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Guji Floral Blueberry Natural G1,"Tainan City, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Espresso Blend,"Taipei, Taiwan",Kenya; Brazil; Mexico; Indonesia,Taiwan,Kenya; Brazil; Mexico; Indonesia,Kenya, Brazil, Mexico, Indonesia,,
Ethiopia Sidama West Arsi Nansebo Natural G1,"Tainan City, Taiwan","Guji Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Rwanda Kiyonza Hill,"Lexington, Virginia","Ngoma Sector, Nyaruguru District, Southern Province, Rwanda",United States,Rwanda,Rwanda,,,,,
Ethiopia Banko Gotiti,"Zhubei, Taiwan","Gedeb District, Gedeo Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Espresso Blend,"Taipei, Taiwan",Kenya; Brazil; Mexico; Indonesia,Taiwan,Kenya; Brazil; Mexico; Indonesia,Kenya, Brazil, Mexico, Indonesia,,
Espresso Blend,"Taipei, Taiwan",Kenya; Brazil; Mexico; Indonesia,Taiwan,Kenya; Brazil; Mexico; Indonesia,Kenya, Brazil, Mexico, Indonesia,,
Espresso Blend,"Taipei, Taiwan",Kenya; Brazil; Mexico; Indonesia,Taiwan,Kenya; Brazil; Mexico; Indonesia,Kenya, Brazil, Mexico, Indonesia,,
Peru Washed Los Santos Farm Gesha,"Chia-Yi, Taiwan","Lonya Grande, Utcubamba Province, Peru",Taiwan,Peru,Peru,,,,,
Mexico Decaf,"Osaka, Japan","Sierra Madre, Chiapas State, Mexico",Japan,Mexico,Mexico,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Ethiopia Banko Gotiti,"Zhubei, Taiwan","Gedeb District, Gedeo Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Nemba Burundi,"Madison, Wisconsin","Kayanza, Burundi",United States,Burundi,Burundi,,,,,
Guatemala Bella Carmona,"Fort Wayne, Indiana","Antigua valley, Sacatepequez Department, Guatemala",United States,Guatemala,Guatemala,,,,,
Peru Black Honey Los Santos Farm Gesha,"Chia-Yi, Taiwan","Lonya Grande, Utcubamba Province, Peru",Taiwan,Peru,Peru,,,,,
Ethiopia Banko Gotiti,"Zhubei, Taiwan","Gedeb District, Gedeo Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Chelba Natural,"Taitung, Taiwan","Chelba Station , Yirgacheffe, Gedeo Zone, SNNPR,Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
When Strawberry Meets Lemon,"Taitung, Taiwan",Kenya; Ethiopia,Taiwan,Kenya; Ethiopia,Kenya, Ethiopia,,,,
Espresso Blend,"Taipei, Taiwan",Kenya; Brazil; Mexico; Indonesia,Taiwan,Kenya; Brazil; Mexico; Indonesia,Kenya, Brazil, Mexico, Indonesia,,
Mist + Wood Blend,"Taipei, Taiwan",Colombia; Guatemala; El Salvador,Taiwan,Colombia; Guatemala; El Salvador,Colombia, Guatemala, El Salvador,,,
Guatemala Bella Carmona,"Fort Wayne, Indiana","Antigua valley, Sacatepequez Department, Guatemala",United States,Guatemala,Guatemala,,,,,
Unicorn Horn Espresso,"Meriden, Kansas",,United States,,,,,,,
Lite Bite,"Meriden, Kansas",,United States,,,,,,,
Ethiopia Djimma Limu Gummay Baby Geisha Washed,"Taipei, Taiwan","Djimma Limu, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Espresso Blend,"Taipei, Taiwan",Kenya; Brazil; Mexico; Indonesia,Taiwan,Kenya; Brazil; Mexico; Indonesia,Kenya, Brazil, Mexico, Indonesia,,
Organic Driftless,"Viroqua, Wisconsin","CUnited Statesco, Peru",United States,Peru,Peru,,,,,
Organic Driftless,"Viroqua, Wisconsin","CUnited Statesco, Peru",United States,Peru,Peru,,,,,
Ethiopia Natural Sidama Bensa Blue Donkey 24/1,"Chia-Yi, Taiwan","Sidamo growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Banko Gotiti,"Zhubei, Taiwan","Gedeb District, Gedeo Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Colombia La Serrania Decaf Washed,"Taipei, Taiwan","Huila Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Ethiopia Guji Uraga Anaerobic Washed,"Taipei, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Colombia El Jordan Washed,"Taipei, Taiwan","Tolima Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Burundi Kayanza Cima Yeast Natural,"Auburn, Maine","Kayanza, Burundi",United States,Burundi,Burundi,,,,,
Zambia Kateshi,"Auburn, Maine","Northern Province, Zambia",United States,Zambia,Zambia,,,,,
Colombia Narino Sugarcane Decaf,"Auburn, Maine",Colombia,United States,Colombia,Colombia,,,,,
Ethiopia Gedeo Yirgacheffe Gerbota Washed G1,"Taipei, Taiwan","Yirgacheffe growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Sidamo Bensa Anaerobic Washed,"Taipei, Taiwan","Sidamo growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Espresso Blend,"Taipei, Taiwan",Kenya; Brazil; Mexico; Indonesia,Taiwan,Kenya; Brazil; Mexico; Indonesia,Kenya, Brazil, Mexico, Indonesia,,
Manhattan Henge Espresso,"Taipei, Taiwan",Colombia; Brazil; Nicaragua; Mexico,Taiwan,Colombia; Brazil; Nicaragua; Mexico,Colombia, Brazil, Nicaragua, Mexico,,
Snowy Hokkaido Espresso,"Taipei, Taiwan",Brazil; Ethiopia; Honduras,Taiwan,Brazil; Ethiopia; Honduras,Brazil, Ethiopia, Honduras,,,
Espresso Blend,"Taipei, Taiwan",Kenya; Brazil; Mexico; Indonesia,Taiwan,Kenya; Brazil; Mexico; Indonesia,Kenya, Brazil, Mexico, Indonesia,,
Biodynamic Washed Geisha,"Guangzhou, China","Baoshan, Yunnan Province, China",China,China,China,,,,,
Colombia Finca El Paraíso Geisha Sake,"Hilo, Hawaii","Cauca, Colombia",United States,Colombia,Colombia,,,,,
Panama HWC Coffee Estate Washed,"Taichung, Taiwan",Panama,Taiwan,Panama,Panama,,,,,
Panama HWC Coffee Estate Natural,"Taichung, Taiwan",Panama,Taiwan,Panama,Panama,,,,,
Kona K7,"Hilo, United States","Holualoa, Kona, United States",United States,United States,United States,,,,,
Colombia Wilton Benitez Double Anaerobic Thermal Shock Yellow Gesha,"Jersey City, New Jersey","Piendamo, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Rose Fruit Dew B40,"Taipei, Taiwan","Piendamo, Cauca Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Gesha Spirits,"San Diego, California","Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Gesha Spirits,"San Diego, California","Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Fruit Maceration Series Lulo Bear,"Jersey City, New Jersey","Armenia, Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
Yemen Al Kawlah Special Reserve Natural,"Livingston, Montana","Hayma Kharijiya growing region, Yemen",United States,Yemen,Yemen,,,,,
Philippine Rosemarie Rupecio,"San Diego, California","Sitio Pluto, Balutakay, Managa, Davao del Sur, Philippines",United States,Philippines,Philippines,,,,,
Wilton Benitez Pink Bourbon Colombia,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Costa Rica Las Lajas SL28 Natural,"Charlotte, North Carolina","Sabanilla de Alajuela, Central Valley, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Ethiopia Gesha Rebecca Natural,"Yilan, Taiwan","Bench-Maji Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Costa Rica Finca Mirella,"Crystal Lake, Illinois","Sabanilla de Alajuela, Central Valley, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Ecuador La Josefina Estate,"Charlotte, North Carolina","El Chaco Canton, Parroquia Santa Rosa, Napo Province, Ecuador",United States,Ecuador,Ecuador,,,,,
Colombia Huila El Vergel Yellow Fruit Anaerobic,"Zhubei, Taiwan","Huila Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Promise of Spring,"Taitung, Taiwan",Costa Rica; Ethiopia,Taiwan,Costa Rica; Ethiopia,Costa Rica, Ethiopia,,,,
Costa Rica Aquiares Estate Dark-Roast,"Taipei, Taiwan","Aquiares, Cartago, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Colombia Nariño Single-Origin Espresso,"Sacramento, California","Nariño Department, Colombia",United States,Colombia,Colombia,,,,,
Burundi Turihamwe,"Sacramento, California","Ngozi Province, Burundi",United States,Burundi,Burundi,,,,,
Kenya Nyeri Rukira,"San Diego, California","Nyeri County, Kenya",United States,Kenya,Kenya,,,,,
Nano Genji #12 Ethiopia,"Madison, Wisconsin","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Kafa Natural,"San Diego, California","Bonga Forest, Keficho-Shekicho Zone, southwest Ethiopia",United States,southwest Ethiopia,southwest Ethiopia,,,,,
Peru Lucmabamba,"Sacramento, California","CUnited Statesco region, Peru",United States,Peru,Peru,,,,,
Sumatra Gayo Lues Natural,"Charlotte, North Carolina","Aceh Province, Sumatra, Indonesia",United States,Indonesia,Indonesia,,,,,
Sumatra Pantan MUnited Statesara,"Dallas, Texas","Pegasing, Takengon, Aceh Province, Sumatra, Indonesia",United States,Indonesia,Indonesia,,,,,
Costa Rica Tarrazu Double Anaerobic Washed,"Taipei, Taiwan","Tarrazu growing region, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Colombia Huila Charlotte Geisha Washed,"Taipei, Taiwan","Huila Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Sumatra Ketiara,"San Diego, California","Gayo Highlands, Sumatra, Indonesia",United States,Indonesia,Indonesia,,,,,
Honduras Finca El Colibri,"Crystal Lake, Illinois","Marcala, La Paz Department, Honduras",United States,Honduras,Honduras,,,,,
Ethiopia Ardi Yeast Natural,"Portland, Maine","Ansora, Guji Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Tanzania Nyasi Furaha,"Lexington, Virginia","Mbeya, Ruvuma Region, Tanzania",United States,Tanzania,Tanzania,,,,,
Moonbow Decaf Espresso,"Hilo, Hawaii",Colombia; Other South America,United States,Colombia; Other South America,Colombia, Other South America,,,,
Sunburst Cold Brew,"Madison, Wisconsin","Burundi, Colombia",United States,Colombia,Colombia,,,,,
Classic Nine Espresso,"Taichung, Taiwan",Colombia; Ethiopia; Brazil,Taiwan,Colombia; Ethiopia; Brazil,Colombia, Ethiopia, Brazil,,,
Sumatra Pantan MUnited Statesara,"Dallas, Texas","Pegasing, Takengon, Aceh Province, Sumatra, Indonesia",United States,Indonesia,Indonesia,,,,,
Costa Rica White Honey,"Dallas, Texas","Naranjo, Alajuela Province, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Ethiopia Lucy Geisha,"Taoyuan, Taiwan","Bench-Maji Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
El Salvador Bourbon Semi-Washed,"Livingston, Montana","Cordillera de Llamatepec, El Salvador",United States,El Salvador,El Salvador,,,,,
Mocha Java Blend,"Bainbridge Island, Washington",Ethiopia; Sumatra,United States,Ethiopia; Sumatra,Ethiopia, Sumatra,,,,
Sumatra Ketiara,"San Diego, California","Gayo Highlands, Sumatra, Indonesia",United States,Indonesia,Indonesia,,,,,
Mocha Java Blend,"Bainbridge Island, Washington",Ethiopia; Sumatra,United States,Ethiopia; Sumatra,Ethiopia, Sumatra,,,,
Kenya Gachatha AA Top,"Chia-Yi, Taiwan","Nyeri growing region, Kenya",Taiwan,Kenya,Kenya,,,,,
Kenya Nyeri Gatuya Factory AA Top,"Taipei, Taiwan","Nyeri growing region, Kenya",Taiwan,Kenya,Kenya,,,,,
Ethiopia Sidamo Arbegona 74158 Natural,"Taipei, Taiwan","Sidamo growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Sidama Bursa Kebele Washed,"Taipei, Taiwan","Arbegona Woreda, Bursa Kebele, Sidama Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Brasil Ipanema Premier Cru BLUE A50 Red Anaerobic Natural,"Taipei, Taiwan","Serra da Mantiqueira-Fazenda Rio Verde, Sul De Minas, Brazil",Taiwan,Brazil,Brazil,,,,,
Panama Hacienda La Esmeralda Diamond Mountain Catuai Washed,"Taipei, Taiwan","Boquete growing region, Panama",Taiwan,Panama,Panama,,,,,
Draft Horse Espresso,"Philipsburg, Montana",Ethiopia,United States,Ethiopia,Ethiopia,,,,,
Ethiopia Natural Bench Maji Lucy Station Gesha,"Chia-Yi, Taiwan","Bench Maji Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
More Floral,"Taoyuan, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopian Yirgacheffe 74110 Solar,"Taichung, Taiwan","Yirgacheffe growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Guatemala El Injerto,"New Taipei, Taiwan","La Libertad, Huehuetenango Department, Guatemala",Taiwan,Guatemala,Guatemala,,,,,
Panama La Mula Geisha Washed,"Yilan, Taiwan","Chiriqui Province, Panama",Taiwan,Panama,Panama,,,,,
Panama Hacienda La Esmeralda Super Mario Geisha Yeast Washed,"Taipei, Taiwan","Boquete growing region, Panama",Taiwan,Panama,Panama,,,,,
Panama Auromar Camilina Geisha Natural,"Henderson, Nevada","Piedra Candela, Chiriqui Province, Panama",United States,Panama,Panama,,,,,
Panama Auromar Ironman Geisha Washed Process,"Henderson, Nevada","Piedra Candela, Chiriqui Province, Panama",United States,Panama,Panama,,,,,
Panama Elida Washed Gesha,"Jersey City, New Jersey","Boquete growing region, Panama",United States,Panama,Panama,,,,,
Colombia Geisha Cordillera,"San Diego, California","Santa Barbara, Antioquia Department, Colombia",United States,Colombia,Colombia,,,,,
Hawaii Ka‘ū Bourbon Anaerobic Natural,"Minneapolis, Minnesota","Ka‘ū growing region, United States",United States,United States,United States,,,,,
Taiwan Natural Alishan Ching-Ye Farm,"Chia-Yi, Taiwan","Alishan, Chia-Yi, Taiwan",Taiwan,Taiwan,Taiwan,,,,,
Ethiopia Anasora Extended Natural Special Lot,"Taipei, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Panama Static Gesha Natural,"Topeka, Kansas","Boquete growing region, Panama",United States,Panama,Panama,,,,,
Costa Rica Bounty Gesha,"Lee, MassachUnited Statesetts","Dota, Tarrazú growing region, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Colombia Antioquia Magico,"Minneapolis, Minnesota","Urrao, Antioquia Department, Colombia",United States,Colombia,Colombia,,,,,
Cruz Loma,"Madison, Wisconsin","San José de Minas, Pichincha Province, Ecuador",United States,Ecuador,Ecuador,,,,,
Canet MUnited Statesician Series Mozart Raisin Honey,"Taipei City, Taiwan","Tarrazu growing region, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Costa Rica San Gabriel SL28 Anaerobic Natural,"Yilan, Taiwan","Mercedes Sur, Turrubares, San José Province, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Costa Rica San Gabriel Pina/Canela Anaerobic Honey Espresso,"Yilan, Taiwan","Mercedes Sur, Turrubares, San José Province, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Ethiopia Bidimoo Chelelektu Natural,"Nantou, Taiwan","Yirgacheffe growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Joker,"Kota Kinabalu, Sabah, Malaysia",Mexico; Ethiopia; Peru,Malaysia,Mexico; Ethiopia; Peru,Mexico, Ethiopia, Peru,,,
Quartet Kaffe Blend No.10,"Taipei, Taiwan",Ethiopia; Kenya; Bolivia; Panama,Taiwan,Ethiopia; Kenya; Bolivia; Panama,Ethiopia, Kenya, Bolivia, Panama,,
Tio Conejo Colombia,"Madison, Wisconsin","Vereda Santa Rita, Manizales, Caldas, Colombia",United States,Colombia,Colombia,,,,,
Tropical Grenade,"Kota Kinabalu, Sabah, Malaysia",Mexico; Panama; Colombia,Malaysia,Mexico; Panama; Colombia,Mexico, Panama, Colombia,,,
The Godfather,"Kota Kinabalu, Sabah, Malaysia",Ethiopia; Panama; Peru,Malaysia,Ethiopia; Panama; Peru,Ethiopia, Panama, Peru,,,
Dancing Tiger,"Nantou, Taiwan",Ethiopia; Costa Rica,Taiwan,Ethiopia; Costa Rica,Ethiopia, Costa Rica,,,,
Rider Blend,"Nantou, Taiwan",Sumatra; Colombia,Taiwan,Sumatra; Colombia,Sumatra, Colombia,,,,
Kenya Nyeri Gathaithi,"San Diego, California","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Aomori Espresso HoUnited Statese Blend,"Taipei City, Taiwan",Colombia; Guatemala; Ethiopia,Taiwan,Colombia; Guatemala; Ethiopia,Colombia, Guatemala, Ethiopia,,,
Ethiopia Raro Boda,"San Diego, California","Guji Zone, Oromia Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Shantawane Buncho Honey,"Glendora, California","Sidama Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Honeyed Floral,"Tainan City, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Karamo Ethiopia Sidama Natural G1,"Tainan City, Taiwan","Sidama growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Caramel Rocher,"Tainan City, Taiwan","West Valley, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Costa Rica Hacienda Sonora Honey,"Glendale, California","Carrillos Alto de Poás, Alajuela Province, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
El Salvador Finca La Esperanza,"Chia-Yi, Taiwan","Apaneca-Ilamatepec, El Salvador",Taiwan,El Salvador,El Salvador,,,,,
Honduras Marcala,"Santa Barbara, California","Marcala growing region, La Paz Department, Honduras",United States,Honduras,Honduras,,,,,
Colombia Huila Finca Villabetuila Anaerobic Honey,"Youngstown, Ohio","Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Nano Genji #7,"Madison, Wisconsin","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Chelchele Ethiopia,"Madison, Wisconsin","Gedeb District, Gedeo Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
El Salvador Aida Batlle La Florida Natural,"Ventura, California","Apaneca-Ilamatepec growing region, El Salvador",United States,El Salvador,El Salvador,,,,,
Dreadnaught Espresso,"San Diego, California","Cajamarca region, Peru",United States,Peru,Peru,,,,,
Trident Carmo de Minas,"San Diego, California","Carmo de Minas growing region, northeastern Minas Gerais State, Brazil",United States,Brazil,Brazil,,,,,
Costa Rica Hacienda La Minita,"Bozeman, Montana","Los Santos, Tarrazú, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Rwanda Karambi Station Natural,"Bozeman, Montana","Nyamasheke District, Rwanda",United States,Rwanda,Rwanda,,,,,
Lone Peak Cafe Series Blend,"Bozeman, Montana",El Salvador; Costa Rica,United States,El Salvador; Costa Rica,El Salvador, Costa Rica,,,,
Ethiopia Honey Yirgacheffe Idido G1,"Chia-Yi, Taiwan","Gedeo Zone, SNNP Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Gigesa Natural,"Chino, California","Guji Zone, Oromia Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Dark Texas Twist,"Kountze, Texas",Ethiopia; Sumatra,United States,Ethiopia; Sumatra,Ethiopia, Sumatra,,,,
Honduras Marcala,"Santa Barbara, California","Marcala growing region, La Paz Department, Honduras",United States,Honduras,Honduras,,,,,
John Co. Train Blend,"Songshan District, Taipei City, Taiwan",Brazil; Guatemala; Nicaragua,Taiwan,Brazil; Guatemala; Nicaragua,Brazil, Guatemala, Nicaragua,,,
Jamaica Blue Mountain,"Taichung, Taiwan","Blue Mountain growing region, eastern Jamaica.",Taiwan,eastern Jamaica.,eastern Jamaica.,,,,,
Panama Finca Santa Teresa Summer Gesha,"Chicago, Illinois","Finca Santa Teresa, Volcan, Panama",United States,Panama,Panama,,,,,
Mojave Vault Series Geisha Natural,"Henderson, Nevada","Volcan, Panama",United States,Panama,Panama,,,,,
Yemen Mocha Haimi,"Henderson, Nevada","Sana’a growing region, Yemen",United States,Yemen,Yemen,,,,,
Yemen Mocha Haimi,"Henderson, Nevada","Sana’a growing region, Yemen",United States,Yemen,Yemen,,,,,
Yemen Mocha Khulani,"Henderson, Nevada","Sana’a growing region, Yemen",United States,Yemen,Yemen,,,,,
Yemen Mocha Harazi,"Henderson, Nevada","Sana’a growing region, Yemen",United States,Yemen,Yemen,,,,,
Quattoro Mountain Blend,"Sapporo, Japan",Colombia; Ecuador; Indonesia; Uganda,Japan,Colombia; Ecuador; Indonesia; Uganda,Colombia, Ecuador, Indonesia, Uganda,,
Ethiopia WUnited Statesh WUnited Statesh G1,"Taichung, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Rwanda “Silverback Returns”,"Taoyuan, Taiwan","Rutsiro District, Rwanda",Taiwan,Rwanda,Rwanda,,,,,
Colombia La Palma y El Tucan,"Taichung, Taiwan","Cundinamarca Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Costa Rica Hacienda Tobosi Villalobos Anaerobic Natural,"Yilan, Taiwan","El Guarco, Cartago Province, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Peru “El Dorado”,"Taoyuan, Taiwan","Jaen, Cajamarca, Peru",Taiwan,Peru,Peru,,,,,
Baby Dragons,"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia WUnited Statesh WUnited Statesh,"ManliUnited States, New York","Santander Department, Colombia",United States,Colombia,Colombia,,,,,
Choco Blend,"Hong Kong, China",Brazil; Papua New Guinea; Indonesia,China,Brazil; Papua New Guinea; Indonesia,Brazil, Papua New Guinea, Indonesia,,,
Colombia Lagoon Java Anaerobic,"Chicago, Illinois","Tolima Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Pink Bourbon Farmer Collaboration,"Chicago, Illinois","Pitalito-BrUnited Stateselas, Huila Department, Colombia",United States,Colombia,Colombia,,,,,
El Jocote Natural,"Madison, Wisconsin","Rosario de Desamparados, Tarrazú, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
